Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,53300,53800,52700,53600,811158,300,0.5628517823639775
2024-01-03,53200,53600,52600,52600,689245,-600,-1.1278195488721803
2024-01-04,52100,52400,51700,51700,755382,-400,-0.7677543186180422
2024-01-05,51600,51700,51100,51300,569782,-300,-0.5813953488372093
2024-01-08,51700,52500,51500,52200,539904,500,0.9671179883945842
2024-01-09,52800,52900,52100,52400,470134,-400,-0.7575757575757576
2024-01-10,51600,52100,51300,51300,4539715,-300,-0.5813953488372093
2024-01-11,51500,52200,51000,51000,1704375,-500,-0.9708737864077669
2024-01-12,51200,51400,50600,51000,1169346,-200,-0.390625
2024-01-15,51000,51800,50900,51600,708782,600,1.1764705882352942
2024-01-16,51200,51500,50800,51100,736825,-100,-0.1953125
2024-01-17,50800,51300,49750,49800,1340792,-1000,-1.968503937007874
2024-01-18,49450,49700,49200,49400,873664,-50,-0.10111223458038424
2024-01-19,49500,49750,48900,49500,860502,0,0.0
2024-01-22,49100,49850,49100,49300,1063329,200,0.40733197556008144
2024-01-23,50300,51500,50000,51400,1800015,1100,2.1868787276341948
2024-01-24,51400,53000,51000,52100,1825246,700,1.3618677042801557
2024-01-25,51700,52900,51600,52900,1478934,1200,2.321083172147002
2024-01-26,52500,53900,52500,53800,1997168,1300,2.4761904761904763
2024-01-29,53900,56000,53300,55600,2107798,1700,3.153988868274583
2024-01-30,55900,56700,55100,55900,1842740,0,0.0
2024-01-31,55100,57000,55000,56600,1343293,1500,2.722323049001815
2024-02-01,58700,61500,57700,61300,4269503,2600,4.429301533219761
2024-02-02,62400,66500,61500,66300,5492430,3900,6.25
2024-02-05,65000,65600,61500,62700,4587829,-2300,-3.5384615384615383
2024-02-06,62100,64400,61700,63100,2056719,1000,1.610305958132045
2024-02-07,62500,66400,62100,64700,2483851,2200,3.52
2024-02-08,65400,67600,65000,67600,2402421,2200,3.3639143730886847
2024-02-13,70100,71100,67900,69700,2716168,-400,-0.5706134094151213
2024-02-14,67900,68500,66500,67300,1484617,-600,-0.8836524300441826
