Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,139700,142800,139700,142400,2147458,2700,1.9327129563350036
2024-01-03,140000,140800,136800,136800,3257820,-3200,-2.2857142857142856
2024-01-04,136800,138800,135800,136400,2661970,-400,-0.29239766081871343
2024-01-05,135800,137500,135800,137500,1846781,1700,1.251840942562592
2024-01-08,137500,137900,135400,136000,2498302,-1500,-1.090909090909091
2024-01-09,139000,139500,136600,137400,3473806,-1600,-1.1510791366906474
2024-01-10,137700,138100,132100,133500,3769252,-4200,-3.0501089324618738
2024-01-11,132400,137100,132400,136000,3594909,3600,2.719033232628399
2024-01-12,136400,137300,133400,134100,1878915,-2300,-1.6862170087976538
2024-01-15,134800,135100,133300,134100,1858867,-700,-0.5192878338278931
2024-01-16,132600,133700,131100,132100,3670169,-500,-0.3770739064856712
2024-01-17,133800,134500,129000,131000,3822702,-2800,-2.092675635276532
2024-01-18,131500,136800,130600,136200,3050556,4700,3.574144486692015
2024-01-19,138700,141300,137400,141300,4946040,2600,1.8745493871665464
2024-01-22,145200,145400,142300,142600,3784276,-2600,-1.790633608815427
2024-01-23,142300,142800,138300,140800,2912611,-1500,-1.0541110330288124
2024-01-24,140000,141700,137600,141500,2580665,1500,1.0714285714285714
2024-01-25,142700,143700,136900,137400,4708651,-5300,-3.7140854940434482
2024-01-26,136200,138600,136000,136000,3247410,-200,-0.14684287812041116
2024-01-29,135500,137000,135000,135000,2311854,-500,-0.36900369003690037
2024-01-30,135300,137800,134400,136900,2297631,1600,1.1825572801182558
2024-01-31,134800,136600,133600,134700,2815362,-100,-0.0741839762611276
2024-02-01,133100,135600,131700,132700,3778274,-400,-0.30052592036063114
2024-02-02,132300,135300,132200,134900,3708253,2600,1.9652305366591083
2024-02-05,134900,135800,131700,132300,3300954,-2600,-1.927353595255745
2024-02-06,133700,138400,132000,138000,4672324,4300,3.2161555721765147
2024-02-07,136600,138500,135500,138000,3348045,1400,1.0248901903367496
2024-02-08,139000,143000,137900,142800,5780714,3800,2.7338129496402876
2024-02-13,146800,150000,145000,150000,6902585,3200,2.17983651226158
2024-02-14,146300,149200,144900,148700,4396924,2400,1.6404647983595353
2024-02-15,151300,152700,148000,148700,3560211,-2600,-1.7184401850627893
2024-02-16,150600,150600,145700,146800,3265836,-3800,-2.5232403718459495
2024-02-19,146200,153200,146000,151300,3997323,5100,3.488372093023256
2024-02-20,150300,151100,147500,149600,3507601,-700,-0.4657351962741184
2024-02-21,147100,152200,147100,149000,4278500,1900,1.291638341264446
2024-02-22,154500,156500,152600,156500,5966352,2000,1.2944983818770228
2024-02-23,166900,166900,159800,161400,7012032,-5500,-3.2953864589574597
2024-02-26,158400,164800,158400,161800,4329477,3400,2.146464646464646
2024-02-27,159000,160000,153300,153800,6107954,-5200,-3.270440251572327
2024-02-28,154500,159200,153800,158000,3666960,3500,2.26537216828479
2024-02-29,154900,158400,154500,156200,3386307,1300,0.8392511297611362
2024-03-04,161000,168100,160700,166500,5230909,5500,3.4161490683229814
2024-03-05,165100,169000,164100,165800,3612530,700,0.4239854633555421
2024-03-06,164100,165500,162700,162900,2672526,-1200,-0.7312614259597806
2024-03-07,164500,165900,161000,164900,3052700,400,0.24316109422492402
2024-03-08,169800,174900,169300,171900,5089650,2100,1.2367491166077738
2024-03-11,165000,168900,164700,166600,3450905,1600,0.9696969696969697
2024-03-12,166100,167200,164000,165700,3102706,-400,-0.2408187838651415
2024-03-13,168600,169700,162000,163600,5072935,-5000,-2.965599051008304
2024-03-14,163600,164200,161100,161900,3655060,-1700,-1.039119804400978
2024-03-15,159600,162900,158600,161200,4099531,1600,1.0025062656641603
2024-03-18,161200,164500,161000,164300,2696598,3100,1.9230769230769231
2024-03-19,161700,161800,157600,160200,4159293,-1500,-0.927643784786642
2024-03-20,160200,161400,154100,156500,5692523,-3700,-2.309612983770287
2024-03-21,165200,171400,162600,170000,9205769,4800,2.9055690072639226
2024-03-22,169000,173900,167400,169800,5400916,800,0.4733727810650888
2024-03-25,170500,174800,168500,169400,3434516,-1100,-0.6451612903225806
2024-03-26,172000,179500,171900,176600,6549669,4600,2.6744186046511627
2024-03-27,176700,183000,175600,181200,5774536,4500,2.5466893039049237
2024-03-28,178000,182100,178000,178200,3424716,200,0.11235955056179776
2024-03-29,179200,183900,177600,183000,3035080,3800,2.1205357142857144
2024-04-01,186400,190500,185000,185500,2723474,-900,-0.4828326180257511
2024-04-02,188000,190000,184400,186300,4207759,-1700,-0.9042553191489361
2024-04-03,182000,183700,178200,179200,5416518,-2800,-1.5384615384615385
2024-04-04,184400,188500,184000,188000,5344102,3600,1.9522776572668112
2024-04-05,184800,187600,181800,182800,4043133,-2000,-1.0822510822510822
2024-04-08,183900,183900,180000,181200,3278855,-2700,-1.468189233278956
2024-04-09,182300,185300,181700,182900,2302751,600,0.32912781130005486
2024-04-11,182900,188400,182400,188400,4098231,5500,3.0071077091306724
2024-04-12,188700,191400,187000,187400,3097301,-1300,-0.688924218335983
2024-04-15,185400,188400,183000,188200,2672047,2800,1.5102481121898599
2024-04-16,184400,185500,178300,179100,4956035,-5300,-2.874186550976139
2024-04-17,179600,182500,177700,178700,4340591,-900,-0.5011135857461024
2024-04-18,176000,183300,175400,182300,4170243,6300,3.5795454545454546
2024-04-19,177200,178500,169500,173300,7545976,-3900,-2.200902934537246
2024-04-22,170700,172400,167000,171600,5882906,900,0.5272407732864675
2024-04-23,172600,173700,169700,171000,3975371,-1600,-0.9269988412514484
2024-04-24,178900,180200,176300,179800,4254632,900,0.5030743432084964
2024-04-25,173800,176700,170600,170600,5332149,-3200,-1.8411967779056386
2024-04-26,176200,178300,174900,177800,5471765,1600,0.9080590238365494
2024-04-29,179100,180400,175600,175900,2892809,-3200,-1.786711334450028
2024-04-30,175900,179000,173800,174200,3655060,-1700,-0.9664582148948266
2024-05-02,169000,174700,169000,173600,3168250,4600,2.72189349112426
2024-05-03,177000,177500,173200,173200,2336256,-3800,-2.1468926553672314
