Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,760000,800000,756000,789000,199238,29000,3.8157894736842106
2024-01-03,782000,793000,776000,787000,87350,5000,0.639386189258312
2024-01-04,782000,784000,759000,770000,77785,-12000,-1.5345268542199488
2024-01-05,765000,769000,753000,756000,60943,-9000,-1.1764705882352942
2024-01-08,763000,763000,746000,749000,60440,-14000,-1.834862385321101
2024-01-09,757000,758000,751000,752000,32301,-5000,-0.6605019815059445
2024-01-10,758000,758000,745000,746000,25263,-12000,-1.58311345646438
2024-01-11,750000,765000,746000,751000,51085,1000,0.13333333333333333
2024-01-12,752000,758000,740000,744000,36332,-8000,-1.0638297872340425
2024-01-15,742000,768000,739000,764000,56061,22000,2.964959568733154
2024-01-16,765000,777000,755000,766000,71224,1000,0.130718954248366
2024-01-17,770000,770000,755000,756000,66807,-14000,-1.8181818181818181
2024-01-18,756000,760000,748000,750000,45252,-6000,-0.7936507936507936
2024-01-19,751000,771000,747000,770000,92506,19000,2.5299600532623168
2024-01-22,775000,793000,771000,793000,136637,18000,2.3225806451612905
2024-01-23,793000,799000,789000,799000,77547,6000,0.7566204287515763
2024-01-24,797000,808000,783000,788000,86457,-9000,-1.1292346298619824
2024-01-25,795000,800000,779000,785000,96679,-10000,-1.257861635220126
2024-01-26,778000,781000,767000,773000,58880,-5000,-0.6426735218508998
2024-01-29,800000,815000,793000,800000,194799,0,0.0
2024-01-30,800000,829000,800000,823000,147117,23000,2.875
2024-01-31,823000,845000,822000,840000,149788,17000,2.0656136087484813
2024-02-01,829000,835000,816000,829000,86022,0,0.0
2024-02-02,823000,862000,822000,859000,134042,36000,4.374240583232078
2024-02-05,851000,867000,840000,847000,79000,-4000,-0.4700352526439483
2024-02-06,857000,878000,841000,846000,78915,-11000,-1.2835472578763127
2024-02-07,849000,852000,825000,826000,97535,-23000,-2.7090694935217905
2024-02-08,831000,833000,802000,815000,99897,-16000,-1.9253910950661854
2024-02-13,817000,842000,817000,838000,87548,21000,2.570379436964504
2024-02-14,832000,833000,815000,828000,53356,-4000,-0.4807692307692308
2024-02-15,835000,835000,818000,821000,48715,-14000,-1.6766467065868262
2024-02-16,829000,829000,815000,828000,61091,-1000,-0.12062726176115801
2024-02-19,820000,827000,818000,821000,56712,1000,0.12195121951219512
2024-02-20,819000,824000,815000,818000,50674,-1000,-0.1221001221001221
2024-02-21,822000,824000,817000,823000,90685,1000,0.12165450121654502
2024-02-22,825000,832000,818000,820000,39730,-5000,-0.6060606060606061
2024-02-23,819000,828000,806000,814000,71915,-5000,-0.6105006105006106
2024-02-26,817000,822000,809000,810000,64612,-7000,-0.8567931456548347
2024-02-27,816000,816000,803000,807000,57386,-9000,-1.1029411764705883
