Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,194360,230176,194360,221103,6266598,26743,13.759518419427867
2024-01-03,218237,222535,213939,221103,1985634,2866,1.313251190219807
2024-01-04,218237,218714,204866,208209,1667980,-10028,-4.595004513441809
2024-01-05,205344,210597,203434,204867,1015753,-477,-0.2322931276297335
2024-01-08,203433,206298,195315,196748,944191,-6685,-3.2860941931741654
2024-01-09,201523,204388,194837,196748,647042,-4775,-2.3694565880817575
2024-01-10,196748,200568,195792,196748,428724,0,0.0
2024-01-11,197703,199613,188820,195793,1387463,-1910,-0.9660956080585524
2024-01-12,189298,196270,185860,188057,1810995,-1241,-0.6555800906507201
2024-01-15,187674,190062,177932,179652,1490338,-8022,-4.27443332587359
2024-01-16,183758,185573,177646,179079,1218136,-4679,-2.5462836992130957
2024-01-17,178219,178315,169146,170006,1340398,-8213,-4.6083750890758
2024-01-18,170005,171438,165898,166854,845735,-3151,-1.8534748977971236
2024-01-19,168000,172775,167045,168096,838846,96,0.05714285714285715
2024-01-22,170005,177932,169814,175354,1110603,5349,3.14637804770448
2024-01-23,177741,180034,172679,173444,682359,-4297,-2.4175626332697577
2024-01-24,174686,174877,172393,172585,310250,-2101,-1.2027294688755825
2024-01-25,172297,175640,170960,173826,490537,1529,0.8874211390796125
2024-01-26,172679,175927,171151,174017,403507,1338,0.7748481286085742
2024-01-29,175736,179079,173540,173540,788306,-2196,-1.2496016752401329
2024-01-30,175831,176786,171534,171534,460274,-4297,-2.443823899084917
2024-01-31,171533,172966,168190,171629,477754,96,0.05596590743472101
2024-02-01,169718,171724,165898,170674,655492,956,0.5632873354623552
2024-02-02,170674,175736,170674,175736,569307,5062,2.9658881844920724
2024-02-05,175736,176118,171438,172776,536543,-2960,-1.6843446988664814
2024-02-06,173061,177837,173061,174781,600929,1720,0.9938692137454423
2024-02-07,175831,177169,170674,170961,785152,-4870,-2.7697050008246555
2024-02-08,171534,174208,171151,171534,673874,0,0.0
2024-02-13,173443,179843,173252,179079,977031,5636,3.249482538932099
2024-02-14,176500,177646,174494,175927,505762,-573,-0.3246458923512748
2024-02-15,177741,177741,174399,174399,375757,-3342,-1.880263979610782
2024-02-16,176118,176213,173825,174017,309106,-2101,-1.1929501811285614
2024-02-19,174016,175545,173443,174208,308436,192,0.11033468186833395
2024-02-20,174303,174780,171628,171820,461131,-2483,-1.424530845711204
2024-02-21,171820,171916,168955,169051,576134,-2769,-1.6115702479338843
2024-02-22,169623,171533,167522,168573,538917,-1050,-0.619019826320723
2024-02-23,169241,176118,168859,171916,863203,2675,1.5805862645576425
2024-02-26,173826,174972,172680,173349,507720,-477,-0.27441234337786063
2024-02-27,173825,182803,173157,181562,1701105,7737,4.451028333093628
2024-02-28,181658,184714,178124,181467,854519,-191,-0.10514263065760936
2024-02-29,181084,182708,171629,171629,1416886,-9455,-5.221333745664995
2024-03-04,172297,173157,167235,168191,959707,-4106,-2.3830943080842966
2024-03-05,167140,171916,164562,167905,1034938,765,0.4577001316261816
2024-03-06,168095,172775,166662,172489,690677,4394,2.6139980368244147
