Date,Open,High,Low,Close,Volume,Change,ChangeRatio,평균기온(℃),강수량(mm),Stock,강수량(mm)_log
2024-01-02,194360,230176,194360,221103,6266598,26743,13.75951842,5.4,0,고구마켓 주식회사,0
2024-01-03,218237,222535,213939,221103,1985634,2866,1.31325119,3.3,1.4,고구마켓 주식회사,0.875468737
2024-01-04,218237,218714,204866,208209,1667980,-10028,-4.595004513,2.7,1.1,고구마켓 주식회사,0.741937345
2024-01-05,205344,210597,203434,204867,1015753,-477,-0.232293128,6.7,0.8,고구마켓 주식회사,0.587786665
2024-01-08,203433,206298,195315,196748,944191,-6685,-3.286094193,-2.4,2,고구마켓 주식회사,1.098612289
2024-01-09,201523,204388,194837,196748,647042,-4775,-2.369456588,2.9,4,고구마켓 주식회사,1.609437912
2024-01-10,196748,200568,195792,196748,428724,0,0,0.9,0.5,고구마켓 주식회사,0.405465108
2024-01-11,197703,199613,188820,195793,1387463,-1910,-0.966095608,2.7,1.6,고구마켓 주식회사,0.955511445
2024-01-12,189298,196270,185860,188057,1810995,-1241,-0.655580091,4.4,2.7,고구마켓 주식회사,1.30833282
2024-01-15,187674,190062,177932,179652,1490338,-8022,-4.274433326,-0.7,5.533333333,고구마켓 주식회사,1.876917278
2024-01-16,183758,185573,177646,179079,1218136,-4679,-2.546283699,-0.2,6.166666667,고구마켓 주식회사,1.969440646
2024-01-17,178219,178315,169146,170006,1340398,-8213,-4.608375089,6.8,6.8,고구마켓 주식회사,2.054123734
2024-01-18,170005,171438,165898,166854,845735,-3151,-1.853474898,7.2,18.1,고구마켓 주식회사,2.949688335
2024-01-19,168000,172775,167045,168096,838846,96,0.057142857,7.8,0.1,고구마켓 주식회사,0.09531018
2024-01-22,170005,177932,169814,175354,1110603,5349,3.146378048,-3.9,0.3,고구마켓 주식회사,0.262364264
2024-01-23,177741,180034,172679,173444,682359,-4297,-2.417562633,-7,0,고구마켓 주식회사,0
2024-01-24,174686,174877,172393,172585,310250,-2101,-1.202729469,-5,0,고구마켓 주식회사,0
2024-01-25,172297,175640,170960,173826,490537,1529,0.887421139,-3.3,0,고구마켓 주식회사,0
2024-01-26,172679,175927,171151,174017,403507,1338,0.774848129,0.4,0,고구마켓 주식회사,0
2024-01-29,175736,179079,173540,173540,788306,-2196,-1.249601675,1.2,0,고구마켓 주식회사,0
2024-01-30,175831,176786,171534,171534,460274,-4297,-2.443823899,3.2,0,고구마켓 주식회사,0
2024-01-31,171533,172966,168190,171629,477754,96,0.055965907,7.6,0,고구마켓 주식회사,0
2024-02-01,169718,171724,165898,170674,655492,956,0.563287335,5.3,0,고구마켓 주식회사,0
2024-02-02,170674,175736,170674,175736,569307,5062,2.965888184,3.1,1.25,고구마켓 주식회사,0.810930216
2024-02-05,175736,176118,171438,172776,536543,-2960,-1.684344699,5.4,17.5,고구마켓 주식회사,2.917770732
2024-02-06,173061,177837,173061,174781,600929,1720,0.993869214,3.5,0.8,고구마켓 주식회사,0.587786665
2024-02-07,175831,177169,170674,170961,785152,-4870,-2.769705001,1.3,0.6,고구마켓 주식회사,0.470003629
2024-02-08,171534,174208,171151,171534,673874,0,0,1.2,0.4,고구마켓 주식회사,0.336472237
2024-02-13,173443,179843,173252,179079,977031,5636,3.249482539,11.3,0.45,고구마켓 주식회사,0.371563556
2024-02-14,176500,177646,174494,175927,505762,-573,-0.324645892,14.6,0.6,고구마켓 주식회사,0.470003629
2024-02-15,177741,177741,174399,174399,375757,-3342,-1.88026398,6.1,2.1,고구마켓 주식회사,1.131402111
2024-02-16,176118,176213,173825,174017,309106,-2101,-1.192950181,3.2,6.866666667,고구마켓 주식회사,2.062634423
2024-02-19,174016,175545,173443,174208,308436,192,0.110334682,10.6,36.7,고구마켓 주식회사,3.629660094
2024-02-20,174303,174780,171628,171820,461131,-2483,-1.424530846,6.3,5.2,고구마켓 주식회사,1.824549292
