Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,425000,429500,422000,429500,152929,4500,1.0588235294117647
2024-01-03,425500,426000,416000,416000,196510,-9500,-2.2326674500587544
2024-01-04,414000,419000,410000,419000,131106,5000,1.2077294685990339
2024-01-05,416500,420500,414500,416000,138131,-500,-0.12004801920768307
2024-01-08,419500,419500,414500,415000,112716,-4500,-1.0727056019070322
2024-01-09,419500,419500,415000,417500,141094,-2000,-0.47675804529201427
2024-01-10,417500,417500,405500,410500,195832,-7000,-1.6766467065868262
2024-01-11,409500,420000,409500,415500,234974,6000,1.465201465201465
2024-01-12,415000,415500,409000,413000,151154,-2000,-0.48192771084337355
2024-01-15,409000,409500,397000,399500,283565,-9500,-2.3227383863080684
2024-01-16,396500,404000,394500,400500,246497,4000,1.008827238335435
2024-01-17,400000,400500,387000,390000,263868,-10000,-2.5
2024-01-18,390000,399000,387000,390500,190739,500,0.1282051282051282
2024-01-19,390500,397000,378500,383500,263399,-7000,-1.792573623559539
2024-01-22,383500,387000,371500,372000,214410,-11500,-2.9986962190352022
2024-01-23,370500,379000,370500,373500,170955,3000,0.8097165991902834
2024-01-24,372500,385000,370500,380500,218985,8000,2.1476510067114094
2024-01-25,375000,375500,363000,368000,317036,-7000,-1.866666666666667
2024-01-26,364000,392000,362000,381000,331129,17000,4.670329670329671
2024-01-29,385000,387000,377500,377500,216167,-7500,-1.948051948051948
2024-01-30,382500,387500,373000,375000,222999,-7500,-1.9607843137254901
2024-01-31,379000,387500,377000,381000,212973,2000,0.5277044854881267
2024-02-01,378000,383000,373000,381500,232165,3500,0.9259259259259258
2024-02-02,384500,392500,381500,387500,261741,3000,0.7802340702210664
2024-02-05,389000,393000,385500,389000,210367,0,0.0
2024-02-06,385000,387500,376000,377000,196337,-8000,-2.0779220779220777
2024-02-07,382000,394000,382000,386000,244380,4000,1.0471204188481675
2024-02-08,397500,397500,386500,394000,314399,-3500,-0.8805031446540881
