Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,222500,229000,221000,227500,716469,5000,2.247191011235955
2024-01-03,223500,224000,220000,222000,690960,-1500,-0.6711409395973155
2024-01-04,221000,225500,220500,223000,538911,2000,0.904977375565611
2024-01-05,222500,224000,219500,220500,387884,-2000,-0.8988764044943821
2024-01-08,222000,231500,222000,226500,1054917,4500,2.027027027027027
2024-01-09,229500,233000,228500,229500,835945,0,0.0
2024-01-10,229500,233500,227000,231000,702562,1500,0.6535947712418301
2024-01-11,232500,234500,229500,231500,879647,-1000,-0.43010752688172044
2024-01-12,232000,232500,228000,230500,516678,-1500,-0.646551724137931
2024-01-15,230000,230500,223500,229500,536029,-500,-0.21739130434782608
2024-01-16,227500,235500,227000,230000,695734,2500,1.098901098901099
2024-01-17,228500,230500,218500,219000,961856,-9500,-4.157549234135667
2024-01-18,217000,219500,215000,216500,730722,-500,-0.2304147465437788
2024-01-19,219000,221500,213500,215500,916193,-3500,-1.5981735159817352
2024-01-22,219000,222500,217000,217000,533513,-2000,-0.91324200913242
2024-01-23,218000,219500,215500,218000,388908,0,0.0
2024-01-24,219000,219500,215500,218000,380731,-1000,-0.45662100456621
2024-01-25,216000,217000,212500,213500,582265,-2500,-1.1574074074074074
2024-01-26,211500,218500,211500,216500,406869,5000,2.3640661938534278
2024-01-29,216500,218000,211500,212000,616505,-4500,-2.0785219399538106
2024-01-30,214000,214500,208000,209500,614246,-4500,-2.102803738317757
2024-01-31,208500,209500,200000,200500,1318605,-8000,-3.8369304556354913
2024-02-01,199500,202500,198600,202500,818613,3000,1.5037593984962405
2024-02-02,209500,221500,208000,221500,1841501,12000,5.727923627684964
2024-02-05,220500,221500,208000,208000,1721981,-12500,-5.6689342403628125
2024-02-06,208000,209000,203500,205500,896400,-2500,-1.201923076923077
2024-02-07,208000,209500,204000,204500,706209,-3500,-1.6826923076923077
2024-02-08,206500,208000,205000,206000,628984,-500,-0.24213075060532688
2024-02-13,206500,208000,204500,205000,860778,-1500,-0.7263922518159807
2024-02-14,200500,203500,199300,202500,627951,2000,0.997506234413965
2024-02-15,205000,209500,203500,203500,945641,-1500,-0.7317073170731708
2024-02-16,205500,209000,204000,205000,999143,-500,-0.24330900243309003
2024-02-19,206500,206500,203000,203500,618150,-3000,-1.4527845036319613
2024-02-20,203500,205500,202000,202500,708867,-1000,-0.4914004914004914
2024-02-21,202000,203500,201000,202500,592041,500,0.24752475247524752
2024-02-22,204000,204500,200500,202000,881700,-2000,-0.9803921568627451
2024-02-23,202500,203000,200000,200500,731357,-2000,-0.9876543209876543
2024-02-26,200000,201500,199500,199900,630834,-100,-0.05
2024-02-27,199900,200500,198700,200000,650795,100,0.05002501250625312
2024-02-28,200500,204000,199700,204000,597421,3500,1.7456359102244388
2024-02-29,200000,200500,195000,195000,2016957,-5000,-2.5
2024-03-04,194400,197400,192000,192000,1186323,-2400,-1.2345679012345678
2024-03-05,191800,192800,188700,188700,1096733,-3100,-1.616266944734098
2024-03-06,189000,192800,189000,189800,876283,800,0.4232804232804233
2024-03-07,191200,191500,188200,189000,775759,-2200,-1.1506276150627615
2024-03-08,190000,190700,188000,188000,750757,-2000,-1.0526315789473684
2024-03-11,188200,190900,188200,189900,653165,1700,0.9032943676939427
2024-03-12,190700,191200,188400,190500,708580,-200,-0.1048767697954903
2024-03-13,191100,191200,188300,188400,812716,-2700,-1.4128728414442702
2024-03-14,188800,189400,186800,186800,1148654,-2000,-1.059322033898305
2024-03-15,186100,188500,186000,186100,1015837,0,0.0
2024-03-18,186200,186500,183200,184100,1054143,-2100,-1.1278195488721803
2024-03-19,183200,183800,182100,182600,726483,-600,-0.32751091703056767
2024-03-20,183000,184400,182600,183100,569076,100,0.0546448087431694
2024-03-21,184700,187800,184400,184400,1047858,-300,-0.16242555495397942
2024-03-22,184600,190800,184600,188900,1280053,4300,2.3293607800650054
2024-03-25,187300,189400,185400,188000,654494,700,0.37373198077949815
2024-03-26,188000,191000,187300,188900,746583,900,0.4787234042553191
2024-03-27,188900,191200,188400,189300,590542,400,0.21175224986765487
2024-03-28,190000,190200,187100,187100,661837,-2900,-1.526315789473684
2024-03-29,187300,188900,185100,187400,633233,100,0.05339028296849973
2024-04-01,188000,194500,188000,194300,1393825,6300,3.351063829787234
2024-04-02,192500,193100,190500,192000,918137,-500,-0.2597402597402597
2024-04-03,191000,197300,190600,193400,1132978,2400,1.256544502617801
2024-04-04,195900,196000,194100,194300,682404,-1600,-0.8167432363450741
2024-04-05,192100,193800,190000,193100,484403,1000,0.5205622071837585
2024-04-08,193100,193200,188500,189900,614052,-3200,-1.657172449508027
2024-04-09,189100,190500,186600,189000,457312,-100,-0.052882072977260705
2024-04-11,186100,188300,183100,183600,1192681,-2500,-1.3433637829124128
2024-04-12,184700,189300,184600,185900,835729,1200,0.6497022198159177
2024-04-15,183800,184600,182600,182800,636607,-1000,-0.544069640914037
2024-04-16,181600,181700,179500,179500,796179,-2100,-1.1563876651982379
2024-04-17,180800,181600,179600,179600,405813,-1200,-0.6637168141592921
2024-04-18,180000,181500,179800,180700,599743,700,0.3888888888888889
2024-04-19,179900,183800,179100,182400,759807,2500,1.3896609227348526
2024-04-22,185200,185300,180300,180900,492109,-4300,-2.3218142548596115
2024-04-23,181400,182400,180000,180100,468831,-1300,-0.7166482910694598
2024-04-24,181400,184400,181300,183700,597721,2300,1.2679162072767365
2024-04-25,181500,184600,180200,182700,437455,1200,0.6611570247933884
2024-04-26,184100,184500,181500,181500,438747,-2600,-1.4122759369907658
2024-04-29,182200,184800,181600,184700,510519,2500,1.3721185510428102
2024-04-30,184600,187500,183800,184400,620050,-200,-0.10834236186348861
2024-05-02,185200,190000,184600,188800,1046087,3600,1.9438444924406046
2024-05-03,195000,196400,191500,194600,2291415,-400,-0.20512820512820512
2024-05-07,197400,198500,193800,194800,1272598,-2600,-1.3171225937183384
2024-05-08,194100,194100,189700,190900,1000782,-3200,-1.6486347243688821
2024-05-09,185900,188700,185500,188300,1129421,2400,1.2910166756320602
2024-05-10,188300,189300,187100,188600,691790,300,0.15932023366967604
2024-05-13,186900,186900,182400,184300,723861,-2600,-1.3911182450508293
2024-05-14,185100,187200,184300,184400,542815,-700,-0.37817396002160997
2024-05-16,186300,190600,186200,188500,805720,2200,1.1808910359634999
2024-05-17,188600,189800,187000,187300,394214,-1300,-0.689289501590668
2024-05-20,187900,188000,183600,184000,569690,-3900,-2.0755721128259714
2024-05-21,182100,184500,182100,183200,469119,1100,0.6040637012630422
2024-05-22,182800,183300,182300,182600,316154,-200,-0.10940919037199125
2024-05-23,181900,183000,180100,182100,406392,200,0.10995052226498077
2024-05-24,180300,181100,179000,179000,730052,-1300,-0.7210205213533
2024-05-27,180000,180100,177400,179000,558709,-1000,-0.5555555555555556
2024-05-28,178500,178700,177400,177400,563865,-1100,-0.6162464985994398
2024-05-29,178100,179800,175100,175300,898094,-2800,-1.5721504772599662
2024-05-30,173500,174900,170400,170400,947416,-3100,-1.7867435158501441
2024-05-31,170500,172000,170000,170200,1117529,-300,-0.17595307917888564
2024-06-03,172000,175500,171800,172700,661878,700,0.4069767441860465
2024-06-04,172600,177400,172600,176800,758259,4200,2.4333719582850524
2024-06-05,177400,178200,175600,177100,467925,-300,-0.16910935738444194
2024-06-07,177500,178500,174900,175400,638712,-2100,-1.1830985915492958
2024-06-10,173100,175000,170700,170700,744709,-2400,-1.386481802426343
2024-06-11,171000,171500,170000,170200,606686,-800,-0.46783625730994155
2024-06-12,170000,170900,167700,168400,977784,-1600,-0.9411764705882352
2024-06-13,170000,173000,169900,169900,982883,-100,-0.0588235294117647
2024-06-14,169300,171100,168700,169900,677657,600,0.3544004725339634
2024-06-17,168800,169400,166000,166100,876593,-2700,-1.5995260663507107
2024-06-18,166700,169400,166300,166800,663328,100,0.05998800239952009
2024-06-19,167700,168400,165100,167900,773616,200,0.11926058437686345
2024-06-20,167500,169700,166500,167200,581688,-300,-0.1791044776119403
2024-06-21,166200,168000,165600,167600,872036,1400,0.842358604091456
2024-06-24,167700,170700,167200,168900,591088,1200,0.7155635062611807
2024-06-25,168200,168400,165700,166400,675119,-1800,-1.070154577883472
2024-06-26,165800,169400,165000,168400,635128,2600,1.5681544028950543
2024-06-27,166800,167700,165400,165400,582846,-1400,-0.8393285371702638
2024-06-28,167300,169000,165900,166900,709968,-400,-0.23909145248057379
2024-07-01,165400,166000,161500,162900,1140154,-2500,-1.5114873035066507
2024-07-02,161600,162500,159600,159900,932343,-1700,-1.051980198019802
2024-07-03,160000,162400,159700,159800,608424,-200,-0.125
2024-07-04,160100,161000,159600,159800,505466,-300,-0.18738288569643974
2024-07-05,160600,168600,160200,168100,1306514,7500,4.6699875466998755
2024-07-08,168100,171900,166100,170500,1148160,2400,1.4277215942891135
2024-07-09,171100,172900,169800,170700,661077,-400,-0.23378141437755698
2024-07-10,170600,178300,169700,177500,1659106,6900,4.0445486518171165
2024-07-11,178400,178700,175300,176100,791229,-2300,-1.289237668161435
2024-07-12,176100,181600,174000,174800,1393405,-1300,-0.7382169222032936
2024-07-15,178200,180500,176000,176300,925722,-1900,-1.0662177328843996
2024-07-16,175600,176200,171100,171600,812128,-4000,-2.277904328018223
2024-07-17,172000,174500,171600,173400,560011,1400,0.813953488372093
2024-07-18,173300,175500,171300,174900,523719,1600,0.9232544720138488
2024-07-19,173700,174700,169800,172200,616972,-1500,-0.8635578583765112
2024-07-22,172000,173900,170700,172700,464293,700,0.4069767441860465
2024-07-23,174000,177000,170600,170600,599169,-3400,-1.9540229885057472
2024-07-24,169000,172500,167000,171700,411210,2700,1.5976331360946745
2024-07-25,170000,179200,169500,178000,1473198,8000,4.705882352941177
2024-07-26,178400,179000,174500,174800,880999,-3600,-2.0179372197309418
2024-07-29,175300,176200,173600,175000,429619,-300,-0.17113519680547634
2024-07-30,174500,176600,172600,173300,402895,-1200,-0.6876790830945558
2024-07-31,173900,175100,171500,174000,425047,100,0.05750431282346176
2024-08-01,176500,177000,174500,175000,481980,-1500,-0.84985835694051
2024-08-02,172000,172500,170500,171400,674484,-600,-0.3488372093023256
2024-08-05,169000,169600,151100,156100,1447269,-12900,-7.633136094674556
2024-08-06,160000,163300,156600,158400,1115733,-1600,-1.0
2024-08-07,156100,163500,156000,162700,778054,6600,4.228058936579116
2024-08-08,160100,163500,158900,162700,724039,2600,1.6239850093691444
2024-08-09,170000,170000,163100,163700,1236721,-6300,-3.705882352941176
2024-08-12,164600,164700,159400,160300,811411,-4300,-2.612393681652491
2024-08-13,159800,160300,156100,156400,1035007,-3400,-2.127659574468085
2024-08-14,157300,158000,155700,157300,858853,0,0.0
2024-08-16,159200,159200,157000,157500,825934,-1700,-1.0678391959798994
2024-08-19,157900,159300,156600,156600,548046,-1300,-0.8233058898036731
2024-08-20,157900,158900,156500,156600,541953,-1300,-0.8233058898036731
2024-08-21,156700,157500,155600,156400,464862,-300,-0.1914486279514997
2024-08-22,157200,164700,157100,164700,1616355,7500,4.770992366412214
2024-08-23,164300,165400,163300,164900,589333,600,0.36518563603164944
2024-08-26,165600,172200,164500,170700,1277462,5100,3.0797101449275366
2024-08-27,170900,171900,167900,167900,628385,-3000,-1.7554125219426564
2024-08-28,168000,168500,163600,163800,781672,-4200,-2.5
2024-08-29,162800,165900,162100,164900,448071,2100,1.2899262899262898
2024-08-30,165500,170300,165200,169100,950399,3600,2.175226586102719
2024-09-02,169100,169100,164900,166600,505605,-2500,-1.478415138971023
2024-09-03,167200,169700,165300,165300,536586,-1900,-1.1363636363636365
2024-09-04,160300,162600,156700,157500,1217431,-2800,-1.7467248908296942
2024-09-05,158300,161800,158000,159800,830603,1500,0.9475679090334808
2024-09-06,160200,160600,157100,157200,649137,-3000,-1.8726591760299627
2024-09-09,153800,155500,152500,155000,612322,1200,0.7802340702210664
2024-09-10,156500,159100,156400,159000,956903,2500,1.5974440894568689
2024-09-11,157200,160300,155900,156400,425569,-800,-0.5089058524173028
2024-09-12,157600,160000,156600,160000,586471,2400,1.5228426395939088
2024-09-13,159900,160400,158900,160100,352083,200,0.12507817385866166
2024-09-19,161900,162600,159500,160600,606948,-1300,-0.8029647930821495
2024-09-20,162000,165400,159700,159900,780267,-2100,-1.2962962962962963
2024-09-23,160700,166700,159900,166700,951074,6000,3.7336652146857494
2024-09-24,166600,168000,164100,168000,661159,1400,0.8403361344537815
2024-09-25,169200,169800,166100,166200,676074,-3000,-1.773049645390071
2024-09-26,167100,170900,167100,170900,700659,3800,2.2740873728306403
2024-09-27,170900,171400,168600,170400,844604,-500,-0.29256875365710944
2024-09-30,174000,177300,169400,169400,1947054,-4600,-2.6436781609195403
2024-10-02,168200,171100,168100,168200,940787,0,0.0
2024-10-04,169300,171900,168200,170700,1171102,1400,0.8269344359125812
2024-10-07,171800,171900,165800,166100,1084682,-5700,-3.317811408614668
2024-10-08,166500,167400,165100,166200,893907,-300,-0.18018018018018017
2024-10-10,167900,174700,167800,172400,1408359,4500,2.6801667659321025
2024-10-11,172900,173500,171200,173300,576782,400,0.23134759976865238
2024-10-14,173300,174300,169900,171400,677634,-1900,-1.0963646855164455
2024-10-15,172400,175700,172400,175200,1056877,2800,1.6241299303944314
2024-10-16,173900,177700,173300,177000,864891,3100,1.7826336975273145
2024-10-17,177000,177700,175000,175000,571148,-2000,-1.1299435028248588
2024-10-18,176500,177600,175400,176800,570513,300,0.16997167138810199
2024-10-21,176800,179200,176200,176800,537952,0,0.0
2024-10-22,176900,177100,170800,171200,765563,-5700,-3.22215941209723
2024-10-23,172000,174600,170800,172500,589358,500,0.29069767441860467
2024-10-24,172100,173400,170800,172100,384523,0,0.0
2024-10-25,172100,172900,167100,167800,627017,-4300,-2.4985473561882623
2024-10-28,167800,170700,167800,170400,319943,2600,1.5494636471990464
2024-10-29,170400,171800,166700,169200,352478,-1200,-0.7042253521126761
2024-10-30,170600,175300,170500,174400,716996,3800,2.2274325908558033
2024-10-31,172100,174800,169700,170000,485411,-2100,-1.220220801859384
2024-11-01,169000,170800,168500,169700,244187,700,0.41420118343195267
2024-11-04,170200,175900,170100,175700,697688,5500,3.231492361927144
2024-11-05,174000,177100,173700,176500,346402,2500,1.4367816091954022
2024-11-06,176700,177400,174100,176300,432475,-400,-0.22637238256932654
2024-11-07,175900,179700,174600,179700,675120,3800,2.1603183627060827
2024-11-08,182600,182800,173700,174600,1233287,-8000,-4.381161007667032
2024-11-11,174600,177000,171500,176000,654961,1400,0.8018327605956471
2024-11-12,175700,182800,175700,181400,1708052,5700,3.2441661923733633
2024-11-13,181400,184100,179700,182200,1224589,800,0.4410143329658214
2024-11-14,183800,190500,183000,188500,2172828,4700,2.557127312295974
2024-11-15,190500,191900,188100,190000,1153043,-500,-0.26246719160104987
2024-11-18,191000,191800,189300,190800,760104,-200,-0.10471204188481677
2024-11-19,190300,194200,190200,193000,964416,2700,1.418812401471361
2024-11-20,193500,194000,191300,193100,693589,-400,-0.20671834625322996
2024-11-21,192600,192700,188900,189700,887174,-2900,-1.505711318795431
2024-11-22,189600,190800,187400,190000,759493,400,0.21097046413502107
2024-11-25,190100,193200,187400,193200,2335917,3100,1.6307206733298263
2024-11-26,192200,196000,192200,195600,995917,3400,1.768990634755463
2024-11-27,196800,205000,196200,203000,2305266,6200,3.1504065040650406
2024-11-28,204000,208000,202000,204500,1341153,500,0.24509803921568626
2024-11-29,204500,209000,201500,206500,1243799,2000,0.9779951100244498
2024-12-02,208500,210500,203000,203500,1220401,-5000,-2.3980815347721824
2024-12-03,207500,210000,204500,209000,1101247,1500,0.7228915662650602
2024-12-04,205000,209000,200500,202500,1758995,-2500,-1.2195121951219512
2024-12-05,204500,208000,203000,204000,1438398,-500,-0.24449877750611246
2024-12-06,204000,206000,197300,204500,1336764,500,0.24509803921568626
2024-12-09,200500,204000,200500,201500,1206493,1000,0.4987531172069825
2024-12-10,204500,209000,203000,209000,905766,4500,2.2004889975550124
2024-12-11,209000,218000,208500,218000,1547595,9000,4.30622009569378
