Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,99000,99400,97400,97600,1341485,-1400,-1.4141414141414141
2024-01-03,96500,96800,93700,93800,1694613,-2700,-2.7979274611398965
2024-01-04,93000,93400,91800,92900,1589156,-100,-0.10752688172043011
2024-01-05,93500,93700,91200,91600,1110042,-1900,-2.0320855614973263
2024-01-08,92000,92300,88800,88900,1397056,-3100,-3.369565217391304
2024-01-09,89800,89900,88100,89100,1384540,-700,-0.779510022271715
2024-01-10,89400,91100,88800,90500,1123770,1100,1.2304250559284116
2024-01-11,91400,91800,89700,89700,1472306,-1700,-1.8599562363238513
2024-01-12,89400,89700,88000,88300,923693,-1100,-1.2304250559284116
2024-01-15,88700,91300,88400,90900,956800,2200,2.480270574971815
2024-01-16,90200,91200,89400,89800,836055,-400,-0.4434589800443459
2024-01-17,89000,89500,87500,87900,961515,-1100,-1.2359550561797752
2024-01-18,87500,88500,86900,87300,840897,-200,-0.2285714285714286
2024-01-19,88100,88700,87000,87600,831282,-500,-0.5675368898978433
2024-01-22,87700,88300,85900,87200,1060021,-500,-0.5701254275940707
2024-01-23,87100,88100,86900,87900,917374,800,0.9184845005740528
2024-01-24,87500,88200,86800,87900,882524,400,0.4571428571428572
2024-01-25,87100,93000,86100,93000,3397759,5900,6.77382319173364
2024-01-26,94600,95700,92700,94400,2383070,-200,-0.21141649048625794
2024-01-29,94700,100000,94400,99900,3200604,5200,5.4910242872228086
2024-01-30,101000,103600,97800,98000,3463949,-3000,-2.9702970297029703
2024-01-31,99400,103000,98500,102900,3793928,3500,3.5211267605633805
2024-02-01,102800,106800,101600,106300,3751067,3500,3.404669260700389
2024-02-02,110000,119900,108700,119500,8478816,9500,8.636363636363637
2024-02-05,119600,121300,113700,118300,6726216,-1300,-1.0869565217391304
2024-02-06,115600,118000,110900,111600,5169164,-4000,-3.4602076124567476
2024-02-07,112000,115800,110100,114700,4555156,2700,2.410714285714286
2024-02-08,112700,114700,111300,113200,2788161,500,0.44365572315882873
2024-02-13,116300,120000,115100,117200,3370853,900,0.7738607050730868
2024-02-14,115600,118800,114700,117600,1530264,2000,1.7301038062283738
2024-02-15,119300,119700,113100,113500,2518069,-5800,-4.861693210393965
2024-02-16,113500,115900,111500,115800,2159137,2300,2.026431718061674
2024-02-19,115600,119300,115300,117600,1750923,2000,1.7301038062283738
2024-02-20,115600,118700,113000,116100,1952950,500,0.43252595155709345
2024-02-21,116200,118600,115000,116800,1845668,600,0.5163511187607573
2024-02-22,116800,121900,115300,119300,3154400,2500,2.1404109589041096
2024-02-23,119400,120700,118000,118400,2253030,-1000,-0.8375209380234505
2024-02-26,116000,116500,112300,114600,2748769,-1400,-1.206896551724138
2024-02-27,111800,115800,111800,112600,2108829,800,0.7155635062611807
2024-02-28,112600,117800,112000,117700,1833765,5100,4.529307282415631
2024-02-29,118300,126900,117500,124500,5862121,6200,5.240912933220625
2024-03-04,124500,126900,124000,125600,3032627,1100,0.8835341365461846
2024-03-05,124000,124900,122300,123000,2940381,-1000,-0.8064516129032258
2024-03-06,121700,127900,121700,127000,2543361,5300,4.354971240755957
2024-03-07,127000,129200,125500,126100,1849757,-900,-0.7086614173228346
2024-03-08,126900,130000,126200,128400,2324865,1500,1.1820330969267139
2024-03-11,128900,131700,126100,126200,1885521,-2700,-2.094647013188518
2024-03-12,125100,127600,125100,126100,1085368,1000,0.7993605115907274
2024-03-13,125900,127300,124500,125900,1396568,0,0.0
2024-03-14,125900,129600,125500,128500,1913544,2600,2.0651310563939633
2024-03-15,128100,130700,125000,125000,2180445,-3100,-2.419984387197502
2024-03-18,126200,128200,124700,128000,1548673,1800,1.4263074484944533
2024-03-19,123200,123600,118200,118900,3390443,-4300,-3.49025974025974
2024-03-20,119500,120300,115100,115700,2379123,-3800,-3.1799163179916317
2024-03-21,117300,118000,115500,115700,2960845,-1600,-1.3640238704177323
2024-03-22,116200,116800,112100,112900,2811721,-3300,-2.8399311531841653
2024-03-25,113100,113500,111000,111500,1550861,-1600,-1.414677276746242
2024-03-26,111200,115400,111200,114400,2021266,3200,2.877697841726619
2024-03-27,114400,115000,112900,113600,1270063,-800,-0.6993006993006993
2024-03-28,114200,114300,111800,112000,1350186,-2200,-1.926444833625219
2024-03-29,112200,113400,110000,110200,1307187,-2000,-1.7825311942959003
2024-04-01,110900,111500,108200,108700,1112885,-2200,-1.9837691614066726
2024-04-02,108200,108700,104000,104700,2520832,-3500,-3.234750462107209
2024-04-03,104300,105400,101800,101800,1671419,-2500,-2.3969319271332696
2024-04-04,103600,106900,102700,106700,2078100,3100,2.9922779922779923
2024-04-05,105300,108500,104300,105000,1944665,-300,-0.2849002849002849
2024-04-08,105000,111000,105000,108500,2070252,3500,3.3333333333333335
2024-04-09,111100,112500,107800,108000,1652638,-3100,-2.7902790279027903
2024-04-11,104600,111800,104400,111700,2217580,7100,6.787762906309751
2024-04-12,111500,111700,108000,109800,1226958,-1700,-1.5246636771300448
2024-04-15,109200,115000,107200,114600,2446762,5400,4.945054945054945
2024-04-16,113500,115200,112200,114700,1988405,1200,1.0572687224669604
2024-04-17,114800,114900,111300,113100,1576611,-1700,-1.480836236933798
2024-04-18,114000,114600,110700,112200,1665994,-1800,-1.5789473684210527
2024-04-19,111000,113700,107800,110400,2114673,-600,-0.5405405405405406
2024-04-22,111600,115500,111600,115100,1916502,3500,3.136200716845878
2024-04-23,116000,118300,114500,115900,1392773,-100,-0.08620689655172414
