Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,78200,79800,78200,79600,17142847,1400,1.7902813299232736
2024-01-03,78500,78800,77000,77000,21753644,-1500,-1.910828025477707
2024-01-04,76100,77300,76100,76600,15324439,500,0.657030223390276
2024-01-05,76700,77100,76400,76600,11304316,-100,-0.1303780964797914
2024-01-08,77000,77500,76400,76500,11088724,-500,-0.6493506493506493
2024-01-09,77400,77700,74300,74700,26019249,-2700,-3.488372093023256
2024-01-10,75000,75200,73200,73600,20259529,-1400,-1.866666666666667
2024-01-11,72900,73600,72700,73200,57691266,300,0.411522633744856
2024-01-12,73000,74100,72800,73100,13038939,100,0.136986301369863
2024-01-15,73200,74000,73200,73900,13212339,700,0.9562841530054645
2024-01-16,73500,73700,72500,72600,14760415,-900,-1.2244897959183674
2024-01-17,73100,73300,71000,71000,22683660,-2100,-2.8727770177838576
2024-01-18,71600,72000,70700,71700,17853397,100,0.13966480446927373
2024-01-19,73500,74700,73000,74700,23363427,1200,1.6326530612244898
2024-01-22,75900,76000,75000,75100,19673375,-800,-1.0540184453227932
2024-01-23,75700,75800,74300,75200,14786224,-500,-0.6605019815059445
2024-01-24,75200,75200,73500,74000,12860661,-1200,-1.5957446808510638
2024-01-25,74200,74800,73700,74100,11737747,-100,-0.13477088948787064
2024-01-26,73700,74500,73300,73400,11160062,-300,-0.40705563093622793
2024-01-29,73800,75200,73500,74400,13976521,600,0.8130081300813009
2024-01-30,75000,75300,73700,74300,12244418,-700,-0.9333333333333335
2024-01-31,73400,74000,72500,72700,15703560,-700,-0.9536784741144414
2024-02-01,73000,74200,72900,73600,19881033,600,0.821917808219178
2024-02-02,74000,75200,73700,75200,14955881,1200,1.6216216216216217
2024-02-05,74200,74800,73500,74300,19026021,100,0.13477088948787064
2024-02-06,74300,74700,73300,74400,14559254,100,0.13458950201884254
2024-02-07,74600,75500,74300,75000,16566445,400,0.5361930294906166
2024-02-08,75000,75200,73600,74100,20810708,-900,-1.2
2024-02-13,74800,75200,74400,75200,21966745,400,0.53475935828877
2024-02-14,73700,74300,73700,74000,12434945,300,0.40705563093622793
2024-02-15,74200,74400,73000,73000,14120600,-1200,-1.6172506738544474
2024-02-16,73300,73400,72500,72800,13444781,-500,-0.6821282401091405
