Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,62300,63000,62200,63000,1305797,700,1.1235955056179776
2024-01-03,62200,62400,61200,61200,1394028,-1000,-1.607717041800643
2024-01-04,60800,61700,60700,61700,1001516,900,1.4802631578947367
2024-01-05,61500,61900,61200,61700,714390,200,0.3252032520325203
2024-01-08,61900,62400,61700,61800,1186432,-100,-0.16155088852988692
2024-01-09,62500,62500,60500,61000,1682843,-1500,-2.4
2024-01-10,61200,61300,59800,59900,1221561,-1300,-2.1241830065359477
2024-01-11,60300,60300,59500,59500,1335660,-800,-1.3266998341625207
2024-01-12,59700,60300,59500,59800,676358,100,0.16750418760469013
2024-01-15,59600,60500,59600,60100,453959,500,0.8389261744966443
2024-01-16,60200,60200,59100,59100,1216737,-1100,-1.8272425249169437
2024-01-17,59300,59400,58000,58300,1345861,-1000,-1.6863406408094435
2024-01-18,58200,59200,58100,58500,891138,300,0.5154639175257731
2024-01-19,59600,60300,59300,60300,1400800,700,1.174496644295302
2024-01-22,61000,61900,60300,60300,1263425,-700,-1.1475409836065573
2024-01-23,61000,61000,59900,60600,974723,-400,-0.6557377049180327
2024-01-24,60800,60800,59800,60600,1047642,-200,-0.3289473684210526
2024-01-25,60600,60700,59900,59900,1251056,-700,-1.155115511551155
2024-01-26,59300,60000,59300,59500,839977,200,0.33726812816188867
2024-01-29,59600,60500,59300,60500,948318,900,1.5100671140939599
2024-01-30,60400,60700,59600,59800,830087,-600,-0.9933774834437087
2024-01-31,59400,59500,58600,58700,1260898,-700,-1.1784511784511784
2024-02-01,58600,59900,58500,59700,1291675,1100,1.877133105802048
2024-02-02,60100,61100,60000,61100,1326594,1000,1.6638935108153077
2024-02-05,60500,61200,59900,61100,1612432,600,0.9917355371900827
2024-02-06,61100,61500,60300,60800,984622,-300,-0.4909983633387889
2024-02-07,61100,61900,60900,61900,1497632,800,1.309328968903437
2024-02-08,62600,62600,61400,62000,1833543,-600,-0.9584664536741214
2024-02-13,64500,64600,62500,63800,3190357,-700,-1.0852713178294573
2024-02-14,62500,63000,62500,63000,1141025,500,0.8
2024-02-15,63200,63300,62000,62000,1201743,-1200,-1.89873417721519
2024-02-16,62300,62900,61500,62500,959125,200,0.32102728731942215
2024-02-19,62100,62800,62000,62500,885035,400,0.644122383252818
2024-02-20,62800,62900,62200,62900,1171271,100,0.15923566878980894
2024-02-21,62600,63100,62500,63100,1019284,500,0.7987220447284344
2024-02-22,63000,63200,62700,63200,1000039,200,0.31746031746031744
2024-02-23,63500,63500,62800,63200,1174513,-300,-0.47244094488188976
2024-02-26,62400,62700,62000,62000,922415,-400,-0.641025641025641
2024-02-27,61900,62100,61400,61400,1462903,-500,-0.8077544426494345
2024-02-28,61500,62000,61000,61400,847453,-100,-0.16260162601626016
2024-02-29,61300,63600,61100,63600,2885230,2300,3.7520391517128875
2024-03-04,63600,63800,63200,63800,2452446,200,0.3144654088050315
2024-03-05,63800,63800,63100,63100,1040939,-700,-1.09717868338558
2024-03-06,63000,63000,62000,62600,1185626,-400,-0.6349206349206349
2024-03-07,63000,63000,62200,62500,1071233,-500,-0.7936507936507936
2024-03-08,63000,63000,62600,63000,1493858,0,0.0
2024-03-11,63000,63000,62000,62400,864887,-600,-0.9523809523809524
2024-03-12,62500,62800,62200,62800,1027588,300,0.48
2024-03-13,63000,63300,62900,63300,1010356,300,0.4761904761904762
2024-03-14,63800,63800,63300,63700,1160177,-100,-0.1567398119122257
2024-03-15,63200,63300,62000,62000,1946388,-1200,-1.89873417721519
2024-03-18,62100,62600,62100,62400,821960,300,0.4830917874396135
2024-03-19,62200,62400,61200,61800,1056345,-400,-0.6430868167202572
2024-03-20,62500,63900,62000,63800,2995420,1300,2.08
2024-03-21,65000,65800,64500,65800,3545573,800,1.2307692307692308
2024-03-22,67000,67100,65700,66700,3638838,-300,-0.44776119402985076
2024-03-25,66700,67200,65500,65700,1403032,-1000,-1.4992503748125936
2024-03-26,66400,66800,66200,66600,1788012,200,0.30120481927710846
2024-03-27,66600,66800,66200,66800,1454594,200,0.3003003003003003
2024-03-28,66700,67300,66500,67200,1391204,500,0.7496251874062968
2024-03-29,67300,68200,67100,68000,1792197,700,1.040118870728083
2024-04-01,68500,68700,67600,68000,1385587,-500,-0.7299270072992701
2024-04-02,68900,70000,68500,69900,2831703,1000,1.4513788098693758
2024-04-03,69200,69600,68200,68300,2039317,-900,-1.300578034682081
2024-04-04,69200,69500,68300,69300,1250368,100,0.1445086705202312
2024-04-05,68800,69000,68100,69000,1170158,200,0.29069767441860467
2024-04-08,69900,70000,68700,69100,1419868,-800,-1.144492131616595
2024-04-09,69000,69000,68100,68300,1158317,-700,-1.0144927536231882
2024-04-11,68100,69200,67700,69200,1242790,1100,1.6152716593245229
2024-04-12,69900,69900,68600,69100,1010055,-800,-1.144492131616595
2024-04-15,67800,68200,67000,67800,1257330,0,0.0
2024-04-16,67200,67200,66100,66600,1959882,-600,-0.8928571428571428
2024-04-17,67000,67200,65900,66300,1052505,-700,-1.0447761194029852
2024-04-18,65800,66800,65400,66300,956049,500,0.7598784194528876
2024-04-19,65900,66000,63900,65200,1494390,-700,-1.062215477996965
2024-04-22,64300,64900,63100,63900,1454100,-400,-0.6220839813374806
2024-04-23,64500,64800,63500,63500,973609,-1000,-1.550387596899225
2024-04-24,64200,65800,64200,65400,1613969,1200,1.8691588785046727
2024-04-25,64500,64800,63900,64100,939691,-400,-0.6201550387596899
2024-04-26,64700,65000,64300,64300,655555,-400,-0.6182380216383307
2024-04-29,64700,64900,64000,64700,814870,0,0.0
2024-04-30,64700,66000,64600,65200,1319915,500,0.7727975270479135
2024-05-02,65000,65500,64600,65000,750199,0,0.0
2024-05-03,65700,65700,64600,64600,489281,-1100,-1.67427701674277
2024-05-07,66200,66900,65700,66900,1556518,700,1.0574018126888218
2024-05-08,66300,66700,66000,66700,757341,400,0.603318250377074
2024-05-09,66700,66800,65500,65600,672525,-1100,-1.6491754122938531
2024-05-10,65800,66300,64800,64800,967109,-1000,-1.5197568389057752
2024-05-13,64900,65200,64000,65000,683645,100,0.15408320493066258
2024-05-14,64700,64900,64400,64500,489182,-200,-0.3091190108191654
2024-05-16,65600,65700,64200,64700,1285603,-900,-1.3719512195121952
2024-05-17,64800,64800,64000,64300,945505,-500,-0.7716049382716049
2024-05-20,64300,64900,64200,64600,676182,300,0.46656298600311047
2024-05-21,64300,64600,64100,64200,814439,-100,-0.15552099533437014
2024-05-22,64400,65000,63700,64200,870866,-200,-0.3105590062111801
2024-05-23,64200,64700,63800,64500,1039153,300,0.46728971962616817
2024-05-24,63100,63400,62100,62100,2626905,-1000,-1.5847860538827259
2024-05-27,62100,63700,61100,62600,2290293,500,0.8051529790660225
2024-05-28,62800,63700,62400,63100,1106152,300,0.47770700636942676
2024-05-29,63800,63800,61500,61500,1792633,-2300,-3.605015673981191
2024-05-30,61400,62100,60600,60800,1381733,-600,-0.9771986970684038
2024-05-31,60900,61400,60300,60300,3418709,-600,-0.9852216748768473
2024-06-03,60900,62200,60700,61500,1295203,600,0.9852216748768473
2024-06-04,61200,61700,61000,61100,927776,-100,-0.16339869281045752
2024-06-05,63100,63400,62200,62600,1429076,-500,-0.7923930269413629
2024-06-07,64600,64600,62800,62800,1336861,-1800,-2.786377708978328
2024-06-10,62400,62600,62000,62500,841534,100,0.16025641025641024
2024-06-11,62400,62400,61400,61400,1309767,-1000,-1.6025641025641024
2024-06-12,61300,62100,61000,61700,1301467,400,0.6525285481239804
2024-06-13,62900,63400,62300,63100,1731152,200,0.3179650238473768
2024-06-14,64500,64500,63400,64400,1919777,-100,-0.15503875968992248
2024-06-17,63800,64200,62300,62400,1577175,-1400,-2.19435736677116
2024-06-18,62800,63400,62600,62900,1647331,100,0.15923566878980894
2024-06-19,63500,64300,62800,63400,2242841,-100,-0.15748031496062992
2024-06-20,63700,64500,63200,64500,1654789,800,1.2558869701726845
2024-06-21,64000,64200,63500,63700,2094265,-300,-0.46875
2024-06-24,63400,64700,63300,64700,1224391,1300,2.050473186119874
2024-06-25,64300,64900,63900,64400,1345671,100,0.15552099533437014
2024-06-26,63800,64500,63800,64200,1333771,400,0.6269592476489028
2024-06-27,63700,63900,63300,63800,1203550,100,0.15698587127158556
2024-06-28,63600,64100,63100,63600,1513724,0,0.0
2024-07-01,63800,64400,63700,64200,1057522,400,0.6269592476489028
2024-07-02,64300,64400,63800,64000,963916,-300,-0.46656298600311047
2024-07-03,64300,64500,63800,64500,1119680,200,0.3110419906687403
2024-07-04,65100,66100,64900,66000,2359445,900,1.3824884792626728
2024-07-05,67800,68000,66600,68000,3661034,200,0.2949852507374631
2024-07-08,68800,69100,68000,68600,2878402,-200,-0.29069767441860467
2024-07-09,68700,68800,68200,68800,1851677,100,0.1455604075691412
2024-07-10,68700,69600,68500,69600,3026357,900,1.3100436681222707
2024-07-11,70000,70300,69200,69800,2593238,-200,-0.2857142857142857
2024-07-12,69000,69000,67000,67000,3187106,-2000,-2.898550724637681
2024-07-15,67100,68600,66600,68600,1837551,1500,2.235469448584203
2024-07-16,68000,69000,68000,68400,1253023,400,0.5882352941176471
2024-07-17,68600,68900,67300,68100,1732024,-500,-0.7288629737609329
2024-07-18,65800,67900,65800,67900,1842723,2100,3.1914893617021276
2024-07-19,66800,67300,66100,66300,1147566,-500,-0.7485029940119761
2024-07-22,66000,66400,64700,65100,1200501,-900,-1.3636363636363635
2024-07-23,65800,66000,65100,65800,1050512,0,0.0
2024-07-24,64600,65500,64300,64600,1108496,0,0.0
2024-07-25,63000,63800,63000,63300,1288267,300,0.4761904761904762
2024-07-26,63400,64000,63400,63500,754676,100,0.15772870662460567
2024-07-29,63800,64100,63600,63700,806526,-100,-0.1567398119122257
2024-07-30,63000,63300,62600,63000,1102633,0,0.0
2024-07-31,62600,64900,62500,64900,1666906,2300,3.6741214057507987
2024-08-01,66100,66200,64200,64800,1479385,-1300,-1.9667170953101363
2024-08-02,63400,63700,61700,62000,2238321,-1400,-2.2082018927444795
2024-08-05,60200,60400,54900,56100,2892408,-4100,-6.810631229235881
2024-08-06,57900,59800,57500,58000,2162758,100,0.17271157167530224
2024-08-07,59300,60500,58500,60100,1785632,800,1.3490725126475547
2024-08-08,59300,59700,58700,59000,2092542,-300,-0.5059021922428331
2024-08-09,60500,60500,59400,59500,1313912,-1000,-1.6528925619834711
2024-08-12,59700,60400,59600,60100,752193,400,0.6700167504187605
2024-08-13,60400,60800,60100,60800,915653,400,0.6622516556291391
2024-08-14,61600,62300,61600,62300,879100,700,1.1363636363636365
2024-08-16,63900,64700,63200,64700,1486431,800,1.2519561815336464
2024-08-19,64700,64700,62700,63400,1249040,-1300,-2.009273570324575
2024-08-20,64000,64300,62900,62900,900619,-1100,-1.7187500000000002
2024-08-21,62500,62900,62300,62900,519390,400,0.64
2024-08-22,62500,62800,62000,62500,927488,0,0.0
2024-08-23,61900,62500,61800,62500,996102,600,0.9693053311793215
2024-08-26,62700,62900,61500,61600,1257851,-1100,-1.7543859649122806
2024-08-27,61100,62000,61100,61500,918848,400,0.6546644844517185
2024-08-28,61300,61800,61200,61800,570053,500,0.8156606851549755
2024-08-29,60100,60700,60100,60100,1462312,0,0.0
2024-08-30,60600,61000,60000,60000,2813196,-600,-0.9900990099009901
