Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-01-02,202000,202500,199800,200500,373050,-1500,-0.7425742574257426
2024-01-03,199100,199500,193800,193800,548675,-5300,-2.6619789050728278
2024-01-04,192000,192800,189100,190000,505979,-2000,-1.0416666666666665
2024-01-05,190100,190500,187200,187300,440219,-2800,-1.4729089952656496
2024-01-08,187600,188900,185500,185700,323498,-1900,-1.0127931769722816
2024-01-09,187800,187800,185500,185600,349068,-2200,-1.1714589989350372
2024-01-10,185600,187300,185200,186700,330767,1100,0.5926724137931034
2024-01-11,187200,189000,187000,187000,538799,-200,-0.10683760683760685
2024-01-12,186600,187400,185800,186000,240690,-600,-0.3215434083601286
2024-01-15,186000,188600,185800,187500,251099,1500,0.8064516129032258
2024-01-16,186600,188100,185700,186200,225780,-400,-0.21436227224008575
2024-01-17,186300,186400,181000,181800,481127,-4500,-2.4154589371980677
2024-01-18,180000,182500,179900,180200,433597,200,0.1111111111111111
2024-01-19,183000,183000,180100,181700,288166,-1300,-0.7103825136612022
2024-01-22,182300,182400,179800,180100,391914,-2200,-1.206801974766868
2024-01-23,181200,184800,180900,184800,376671,3600,1.9867549668874174
2024-01-24,185300,185400,182100,185000,345726,-300,-0.16189962223421478
2024-01-25,184400,190500,183500,188700,778658,4300,2.331887201735358
2024-01-26,189300,189600,186500,187300,468376,-2000,-1.0565240359218173
2024-01-29,187300,197300,186600,195600,1199045,8300,4.431393486385478
2024-01-30,196000,196600,189300,190000,955999,-6000,-3.061224489795918
2024-01-31,189300,195400,188500,194600,1053355,5300,2.7997886951928157
2024-02-01,193900,209000,193500,208000,2855056,14100,7.271789582258896
2024-02-02,221500,228000,214000,227000,5844398,5500,2.4830699774266365
2024-02-05,233500,239500,226000,238000,5742710,4500,1.9271948608137044
2024-02-06,234000,240000,230500,235500,3293825,1500,0.641025641025641
2024-02-07,239000,246500,238000,245000,2711612,6000,2.510460251046025
2024-02-08,243000,250500,241500,250000,3017429,7000,2.880658436213992
2024-02-13,251000,261000,247500,249000,2690468,-2000,-0.796812749003984
2024-02-14,245000,251000,244500,245500,1702299,500,0.20408163265306123
2024-02-15,250000,250500,237000,240000,2103428,-10000,-4.0
2024-02-16,241500,253000,235500,252500,2261790,11000,4.554865424430641
2024-02-19,253500,257000,248500,252500,1801441,-1000,-0.39447731755424065
2024-02-20,250000,253000,238500,242000,1944653,-8000,-3.2
2024-02-21,242000,246000,237500,239500,1149137,-2500,-1.0330578512396695
2024-02-22,239000,245500,237500,243500,1475580,4500,1.882845188284519
2024-02-23,244000,249500,242000,244000,1660625,0,0.0
2024-02-26,237500,241000,231500,239000,1751340,1500,0.631578947368421
2024-02-27,239000,244500,237500,238500,1265434,-500,-0.20920502092050208
2024-02-28,234000,250000,231500,248000,1911431,14000,5.982905982905983
2024-02-29,246500,253500,243500,250500,2056620,4000,1.6227180527383367
2024-03-04,255500,260000,253000,255500,1854280,0,0.0
2024-03-05,251500,254500,247500,249000,1436614,-2500,-0.9940357852882704
2024-03-06,247000,254000,246000,251000,1103072,4000,1.6194331983805668
2024-03-07,252500,258000,247500,250000,988457,-2500,-0.9900990099009901
2024-03-08,251500,255000,249500,253000,1210240,1500,0.5964214711729622
2024-03-11,251000,252500,242000,243500,1178615,-7500,-2.9880478087649402
2024-03-12,244000,247000,240000,241500,1096802,-2500,-1.0245901639344261
2024-03-13,243500,250000,241000,248500,1413782,5000,2.0533880903490758
2024-03-14,248000,255000,246000,251500,1574794,3500,1.411290322580645
2024-03-15,250000,254500,243500,243500,1175933,-6500,-2.6
2024-03-18,244000,247500,241000,242500,723835,-1500,-0.6147540983606558
2024-03-19,241000,244000,236000,237500,944727,-3500,-1.4522821576763485
2024-03-20,240000,246000,237500,241000,1230314,1000,0.4166666666666667
2024-03-21,247000,254000,246000,252000,1578378,5000,2.0242914979757085
2024-03-22,252500,254000,241000,243500,1091572,-9000,-3.564356435643564
2024-03-25,244000,245500,239500,239500,784822,-4500,-1.8442622950819672
2024-03-26,239000,244000,238500,240500,802094,1500,0.6276150627615062
2024-03-27,241000,247500,240500,244000,818180,3000,1.2448132780082988
2024-03-28,246000,246000,236000,237000,1050347,-9000,-3.6585365853658534
2024-03-29,238000,239000,232000,233000,852346,-5000,-2.100840336134454
2024-04-01,234500,235000,227000,227500,898781,-7000,-2.9850746268656714
